x_value,total_1,total_2
0,1000,1000
1,996,1001
2,999,1004
3,993,1009
4,990,1006
5,994,1011
6,998,1015
7,1002,1013
8,999,1016
9,1004,1021
10,1012,1026
11,1006,1028
12,1012,1025
13,1006,1023
14,1001,1029
15,1001,1024
16,995,1019
17,992,1018
18,999,1023
19,1007,1022
20,1003,1025
21,1009,1021
22,1013,1026
23,1007,1030
24,1012,1028
25,1013,1026
26,1011,1029
27,1017,1028
28,1019,1032
29,1023,1029
30,1027,1033
31,1023,1031
32,1025,1032
33,1020,1036
34,1019,1039
35,1014,1034
36,1017,1038
37,1011,1044
38,1015,1041
39,1014,1038
40,1009,1038
41,1017,1044
42,1018,1047
43,1020,1042
44,1024,1041
45,1027,1037
46,1027,1040
47,1032,1037
48,1036,1032
49,1036,1028
50,1044,1028
51,1042,1026
52,1050,1028
53,1044,1034
54,1038,1032
55,1042,1031
56,1036,1035
57,1041,1034
58,1044,1033
59,1048,1037
60,1049,1035
61,1057,1036
62,1062,1031
63,1056,1036
64,1063,1038
65,1068,1041
66,1068,1041
67,1075,1044
68,1073,1039
69,1069,1039
70,1070,1044
71,1078,1050
72,1083,1055
73,1078,1061
74,1081,1062
75,1079,1058
76,1081,1062
77,1089,1057
78,1096,1054
79,1099,1053
80,1107,1053
81,1110,1050
82,1117,1054
83,1119,1052
84,1121,1047
85,1119,1042
86,1121,1046
87,1129,1052
88,1126,1049
89,1120,1054
90,1114,1052
91,1121,1049
92,1115,1050
93,1117,1047
94,1112,1048
95,1116,1046
96,1111,1047
97,1106,1052
98,1112,1057
99,1115,1060
100,1122,1062
101,1124,1067
102,1119,1062
103,1125,1059
104,1130,1065
105,1134,1065
106,1129,1071
107,1124,1074
108,1122,1078
109,1119,1084
110,1122,1089
111,1125,1089
112,1133,1090
113,1132,1093
114,1140,1099
115,1138,1098
116,1137,1102
117,1144,1104
118,1142,1101
119,1145,1105
120,1139,1102
121,1146,1108
122,1150,1114
123,1154,1114
124,1153,1119
125,1159,1125
126,1153,1130
127,1151,1129
128,1155,1130
129,1162,1134
130,1157,1140
131,1154,1135
132,1151,1139
133,1145,1143
134,1142,1146
135,1146,1142
136,1147,1145
137,1143,1148
138,1141,1152
139,1140,1147
140,1145,1152
141,1146,1156
142,1149,1156
143,1145,1157
144,1145,1160
145,1148,1166
146,1146,1162
147,1140,1161
148,1141,1162
149,1142,1168
150,1148,1173
151,1149,1169
152,1151,1169
153,1157,1175
